id,longitude,latitude,elevation_m
CI.BOM.,-115.72963,33.36465,-54
CI.COA.,-115.12339,32.86341,36
CI.CRR.,-115.96918,32.88682,66
CI.DRE.,-115.44679,32.80532,-13
CI.ERR.,-115.82273,33.11652,-56
CI.FRK.,-115.638351,33.402088,60
CI.IMP.,-115.56071,32.90147,-27
CI.RXH.,-115.62257,33.18313,-59
CI.SAL.,-115.98585,33.2801,14
CI.SGL.,-115.72638,32.64933,75
CI.SLV.,-115.30436,33.23854,254.56
CI.SNR.,-115.43602,32.861839,-63
CI.SWS.,-115.79988,32.94508,140
CI.WES.,-115.73161,32.75904,-8
CI.WMD.,-115.58191,33.03826,-45
CI.YUH2.,-115.92227,32.64752,184
