id,utmx,utmy,elevation_m,longitude,latitude
ML01,736409,9822514,1120,101.1248861,-1.604656289
ML02,736597,9819406,1496,101.1266044,-1.632753851
ML03,736385,9820601,1344,101.1246885,-1.621951909
ML04,737704,9818939,1342,101.1365543,-1.636965341
ML05,734913,9821612,1387,101.1114544,-1.612825332
ML06,738310,9819117,1396,101.1419969,-1.635350219
ML07,737443,9822803,1112,101.1341729,-1.602033727
ML08,738248,9822160,1151,101.141411,-1.607839419
ML09,737882,9820985,1270,101.138134,-1.618465946
ML10,736549,9821365,1220,101.1261547,-1.61504305
ML11,738467,9820490,1312,101.1433943,-1.622935592
ML12,736091,9823471,1036,101.1220203,-1.59600704
ML13,737178,9821541,1222,101.131804,-1.613445886
ML14,737553,9820011,1398,101.1351875,-1.627274934
ML15,739331,9823317,953,101.1511297,-1.597368889
