id,timestamp,prob,type,amp,event_index,gamma_score
CI.CRR.,2020-10-01T00:02:04.690000,0.28870472,S,6.55E-09,0,0.029363324
CI.ERR.,2020-10-01T00:02:01.370000,0.6410648,S,2.97E-09,0,0.064224245
CI.IMP.,2020-10-01T00:01:58.850000,0.9259397,S,2.41E-08,0,0.001193755
CI.RXH.,2020-10-01T00:01:58.140000,0.49604303,S,4.89E-08,0,0.092412594
CI.SGL.,2020-10-01T00:02:05.600000,0.27594218,S,4.28E-10,0,0.050332963
CI.SLV.,2020-10-01T00:02:02.570000,0.6434512,S,6.70E-10,0,0.028023268
CI.CRR.,2020-10-01T00:01:59.200000,0.6773619,P,2.67E-11,0,0.063657758
CI.SLV.,2020-10-01T00:01:58.170000,0.48730487,P,3.12E-10,0,0.095461416
CI.SNR.,2020-10-01T00:01:57.140000,0.100097604,P,1.84E-08,0,0.055144812
CI.SWS.,2020-10-01T00:01:59.470000,0.7216845,S,5.00E-09,0,0.076169636
CI.YUH2.,2020-10-01T00:02:01.260000,0.90372854,P,6.50E-10,0,0.049630337
CI.YUH2.,2020-10-01T00:02:08.190000,0.6617383,S,8.90E-11,0,0.010171097
CI.CRR.,2020-10-01T00:00:42.170000,0.6710862,S,4.37E-09,1,0.066041041
CI.ERR.,2020-10-01T00:00:39.090000,0.14675307,S,3.12E-10,1,0.014482531
CI.FRK.,2020-10-01T00:00:42.140000,0.78530383,S,2.47E-09,1,0.077392784
CI.IMP.,2020-10-01T00:00:37.030000,0.91843826,S,8.19E-09,1,0.089221631
CI.SGL.,2020-10-01T00:00:42.970000,0.20621727,S,8.89E-09,1,0.066088921
CI.SLV.,2020-10-01T00:00:40.100000,0.36901018,S,1.05E-10,1,0.020018094
CI.CRR.,2020-10-01T00:00:36.970000,0.80718005,P,1.49E-09,1,0.009138089
CI.FRK.,2020-10-01T00:00:36.680000,0.8988063,P,1.39E-09,1,0.036257949
CI.SAL.,2020-10-01T00:00:38.080000,0.11744124,P,3.82E-09,1,0.011085289
CI.SGL.,2020-10-01T00:00:37.870000,0.68603957,P,1.57E-09,1,0.079325204
CI.SLV.,2020-10-01T00:00:35.730000,0.23423557,P,1.18E-09,1,0.088386925
CI.YUH2.,2020-10-01T00:00:39.100000,0.910028,P,1.65E-10,1,0.090413493
CI.COA.,2020-10-01T00:02:37.340000,0.84346366,S,1.41E-09,2,0.035591513
CI.CRR.,2020-10-01T00:02:33.940000,0.45831308,S,3.05E-08,2,0.050486701
CI.IMP.,2020-10-01T00:02:28.630000,0.9140642,S,2.22E-07,2,0.002673644
CI.SAL.,2020-10-01T00:02:33.460000,0.18278052,S,2.40E-08,2,0.027420747
CI.SGL.,2020-10-01T00:02:36.380000,0.26678264,S,2.56E-08,2,0.008025713
CI.SLV.,2020-10-01T00:02:32.030000,0.7471644,S,2.14E-09,2,0.006175968
CI.SNR.,2020-10-01T00:02:31.190000,0.849551,S,8.55E-08,2,0.051427461
CI.BOM.,2020-10-01T00:02:27.330000,0.7082386,P,9.78E-10,2,0.022921929
CI.COA.,2020-10-01T00:02:30.050000,0.86506456,P,4.33E-09,2,0.00708942
CI.CRR.,2020-10-01T00:02:28.650000,0.80116826,P,1.05E-08,2,0.054830493
CI.ERR.,2020-10-01T00:02:26.520000,0.931647,P,2.03E-08,2,0.006480193
CI.FRK.,2020-10-01T00:02:27.270000,0.96767104,P,3.23E-09,2,0.003291845
CI.SAL.,2020-10-01T00:02:29.160000,0.9390912,P,6.03E-09,2,0.036883053
CI.SLV.,2020-10-01T00:02:27.840000,0.7571067,P,2.85E-10,2,0.010951278
CI.SWS.,2020-10-01T00:02:26.140000,0.22870153,P,1.20E-08,2,0.016024738
CI.SWS.,2020-10-01T00:02:29.030000,0.5450381,S,9.16E-09,2,0.013036065
CI.WES.,2020-10-01T00:02:33.500000,0.12650569,S,1.39E-08,2,0.044797529
CI.WMD.,2020-10-01T00:02:24.770000,0.9079074,S,8.23E-07,2,0.009939961
CI.YUH2.,2020-10-01T00:02:30.850000,0.76398325,P,3.99E-09,2,0.003681113
CI.YUH2.,2020-10-01T00:02:37.390000,0.6474166,S,7.26E-09,2,0.051073285
CI.IMP.,2020-10-01T00:01:13.820000,0.9118312,S,6.43E-11,3,0.008247894
CI.RXH.,2020-10-01T00:01:12.170000,0.353575,S,2.78E-08,3,0.007904867
CI.SGL.,2020-10-01T00:01:20.360000,0.4930489,S,2.04E-09,3,0.020980533
CI.SLV.,2020-10-01T00:01:16.870000,0.45726338,S,9.95E-11,3,0.002300256
CI.SNR.,2020-10-01T00:01:16.510000,0.3520265,S,1.01E-07,3,0.007969439
CI.COA.,2020-10-01T00:01:15.470000,0.847014,P,8.20E-09,3,0.00161175
CI.CRR.,2020-10-01T00:01:13.840000,0.87186027,P,1.91E-09,3,0.013912954
CI.FRK.,2020-10-01T00:01:12.750000,0.40096533,P,1.74E-09,3,0.007933697
CI.IMP.,2020-10-01T00:01:10.270000,0.97389174,P,3.98E-08,3,0.00122072
CI.RXH.,2020-10-01T00:01:10.060000,0.11379355,P,2.22E-08,3,0.018754453
CI.SGL.,2020-10-01T00:01:14.590000,0.7762513,P,5.10E-09,3,0.005056482
CI.SLV.,2020-10-01T00:01:12.620000,0.10242533,P,3.66E-10,3,0.061392649
CI.SWS.,2020-10-01T00:01:10.900000,0.43486422,P,3.17E-09,3,0.007296786
CI.SWS.,2020-10-01T00:01:14.090000,0.7313013,S,9.04E-09,3,0.003964621
CI.YUH2.,2020-10-01T00:01:15.890000,0.90530854,P,6.46E-10,3,0.010175806
CI.CRR.,2020-10-01T00:01:44.410000,0.3736214,S,9.30E-09,4,0.008247894
CI.SGL.,2020-10-01T00:01:36.240000,0.12314443,S,1.91E-09,4,0.007904867
CI.SLV.,2020-10-01T00:01:48.750000,0.36622304,S,1.01E-09,4,0.020980533
CI.COA.,2020-10-01T00:01:31.960000,0.6758496,P,6.37E-09,4,0.002300256
CI.FRK.,2020-10-01T00:01:39.970000,0.27632913,P,5.40E-10,4,0.007969439
CI.RXH.,2020-10-01T00:01:35.840000,0.49651816,P,2.38E-08,4,0.00161175
CI.SGL.,2020-10-01T00:01:30.380000,0.24360676,P,1.77E-09,4,0.013912954
CI.SLV.,2020-10-01T00:01:37.960000,0.14023747,P,1.27E-09,4,0.007933697
CI.YUH2.,2020-10-01T00:01:31.780000,0.5674645,P,2.29E-09,4,0.00122072
CI.YUH2.,2020-10-01T00:01:38.430000,0.6340884,S,2.59E-09,4,0.018754453
